Employee_ID,Department,Job_Level,Location,Gender,Education_Level,Performance_Rating,Monthly_Salary,Hire_Date,Exit_Date,Attrition_Status,Attrition_Type,Tenure_Years,Date_Error_Flag,Tenure_Flag
39,Finance,Junior,Accra,Male,Diploma,3,6373,4/2/2014,,0,Active,9.109589041,OK,OK
40,Engineering,Mid,Lagos,Male,Master,3,6364,4/9/2014,,0,Active,2.189041096,OK,OK
41,Sales,Senior,Accra,Male,Bachelor,2,6355,4/11/2014,,0,Active,1.657534247,OK,OK
42,Operations,Junior,Johannesburg,Male,Diploma,2,6352,4/15/2014,,0,Active,9.654794521,OK,OK
43,Sales,Mid,Accra,Male,Bachelor,3,6348,4/15/2014,1/31/2023,1,Involuntary,6.493150685,OK,OK
44,Marketing,Junior,Lagos,Male,Diploma,5,6345,4/16/2014,,0,Active,10.94794521,OK,OK
45,Engineering,Manager,Nairobi,Male,Master,2,6344,4/17/2014,11/3/2023,1,Voluntary,6.753424658,OK,OK
46,Finance,Mid,Nairobi,Female,Master,1,6343,4/19/2014,8/6/2023,1,Involuntary,4.947945205,OK,OK
47,Engineering,Senior,Lagos,Male,Diploma,4,6337,4/21/2014,,0,Active,1.008219178,OK,OK
48,Operations,Mid,Accra,Female,Bachelor,3,6337,4/22/2014,,0,Active,9.482191781,OK,OK
49,Operations,Junior,Lagos,Female,Master,4,6323,4/30/2014,,0,Active,6.580821918,OK,OK
50,Sales,Mid,Accra,Female,PhD,4,6323,5/2/2014,1/27/2021,1,Voluntary,4.501369863,OK,OK
51,Customer Support,Manager,Accra,Female,Bachelor,5,6320,5/16/2014,,0,Active,7.597260274,OK,OK
52,HR,Mid,Lagos,Male,PhD,3,6317,5/22/2014,,0,Active,3.057534247,OK,OK
53,Customer Support,Senior,Accra,Male,Bachelor,4,6315,5/22/2014,,0,Active,2.553424658,OK,OK
54,Marketing,Manager,Accra,Female,Bachelor,3,6314,5/23/2014,,0,Active,2.95890411,OK,OK
55,Operations,Junior,Nairobi,Male,Master,3,6313,6/1/2014,12/23/2022,1,Voluntary,4.443835616,OK,OK
56,Customer Support,Junior,Johannesburg,Female,Bachelor,3,6310,6/3/2014,,0,Active,10.79726027,OK,OK
57,Sales,Mid,Lagos,Female,Bachelor,2,6309,6/4/2014,,0,Active,7.323287671,OK,OK
58,Sales,Mid,Accra,Female,Bachelor,3,6305,6/7/2014,,0,Active,8.8,OK,OK
59,Sales,Senior,Accra,Female,Master,3,6300,6/16/2014,5/1/2024,1,Voluntary,1.263013699,OK,OK
60,Engineering,Manager,Johannesburg,Female,Master,4,6299,6/18/2014,,0,Active,8.156164384,OK,OK
61,Engineering,Junior,Accra,Female,Bachelor,4,6296,6/18/2014,,0,Active,8.906849315,OK,OK
62,Engineering,Junior,Accra,Male,Bachelor,4,6295,6/21/2014,,0,Active,9.767123288,OK,OK
63,Marketing,Senior,Lagos,Female,Bachelor,2,6293,6/24/2014,,0,Active,1.380821918,OK,OK
64,Engineering,Junior,Lagos,Male,Bachelor,4,6292,6/26/2014,8/13/2024,1,Voluntary,2.471232877,OK,OK
65,Engineering,Senior,Lagos,Male,Bachelor,3,6288,6/27/2014,3/28/2024,1,Voluntary,3.876712329,OK,OK
66,Operations,Mid,Accra,Female,Master,4,6286,6/29/2014,10/24/2020,1,Voluntary,2.852054795,OK,OK
67,Sales,Senior,Accra,Male,Bachelor,5,6275,7/4/2014,,0,Active,6.901369863,OK,Missing Tenure
68,HR,Junior,Johannesburg,Male,Bachelor,2,6274,7/4/2014,,1,Involuntary,,Date Error,OK
69,Sales,Mid,Accra,Male,Diploma,4,6261,7/8/2014,,0,Active,3.991780822,OK,OK
70,Customer Support,Mid,Nairobi,Female,Bachelor,1,6253,7/10/2014,12/24/2023,1,Voluntary,4.810958904,OK,OK
71,HR,Mid,Nairobi,Male,PhD,3,6249,7/11/2014,,0,Active,4.128767123,OK,OK
72,Sales,Junior,Lagos,Female,Bachelor,3,6246,7/11/2014,,0,Active,3.189041096,OK,OK
73,Sales,Senior,Accra,Male,Diploma,2,6239,7/12/2014,,0,Active,3.142465753,OK,OK
74,Marketing,Senior,Accra,Female,Bachelor,4,6234,7/12/2014,,0,Active,10.01643836,OK,OK
75,Finance,Junior,Lagos,Female,Bachelor,1,6223,7/18/2014,,0,Active,1.545205479,OK,Missing Tenure
76,Finance,Junior,Johannesburg,Male,Diploma,2,6218,7/21/2014,,1,Voluntary,,Date Error,OK
77,HR,Junior,Johannesburg,Male,Bachelor,3,6212,7/22/2014,,0,Active,9.57260274,OK,Missing Tenure
78,Sales,Mid,Accra,Male,Bachelor,4,6199,7/23/2014,,1,Voluntary,,Date Error,OK
79,Engineering,Mid,Accra,Female,Bachelor,5,6198,7/29/2014,,0,Active,2.090410959,OK,OK
80,Sales,Mid,Johannesburg,Female,Bachelor,4,6194,8/1/2014,,0,Active,7.673972603,OK,Missing Tenure
81,Marketing,Junior,Nairobi,Female,Bachelor,4,6193,8/8/2014,,1,Involuntary,,Date Error,OK
82,Finance,Mid,Johannesburg,Male,PhD,3,6191,8/18/2014,,0,Active,5.246575342,OK,OK
83,Engineering,Mid,Accra,Female,Bachelor,1,6187,8/22/2014,,0,Active,7.575342466,OK,OK
84,Sales,Mid,Lagos,Female,Bachelor,2,6186,8/24/2014,11/14/2024,1,Involuntary,3.928767123,OK,OK
85,Engineering,Manager,Nairobi,Female,Bachelor,3,6184,9/2/2014,,0,Active,2.517808219,OK,OK
86,Engineering,Junior,Nairobi,Female,Bachelor,4,6183,9/3/2014,,0,Active,5.926027397,OK,OK
87,Finance,Senior,Lagos,Male,Master,3,6181,9/10/2014,10/27/2016,1,Voluntary,0.846575342,OK,OK
88,Finance,Mid,Accra,Male,Bachelor,4,6180,9/21/2014,,0,Active,5.575342466,OK,Missing Tenure
89,Marketing,Mid,Lagos,Female,Master,3,6178,9/24/2014,,1,Voluntary,,Date Error,OK
90,Operations,Senior,Accra,Female,Diploma,2,6173,9/27/2014,,0,Active,7.04109589,OK,OK
91,Sales,Senior,Lagos,Female,Bachelor,2,6171,9/28/2014,,0,Active,7.178082192,OK,OK
92,Finance,Manager,Johannesburg,Male,Master,4,6171,9/29/2014,,0,Active,5.287671233,OK,OK
93,HR,Junior,Lagos,Male,Bachelor,4,6170,10/1/2014,,0,Active,6.879452055,OK,OK
94,Operations,Junior,Nairobi,Male,Bachelor,4,6169,10/6/2014,,0,Active,8.260273973,OK,Missing Tenure
95,HR,Senior,Accra,Male,Bachelor,2,6169,10/8/2014,,1,Voluntary,,Date Error,OK
96,Operations,Mid,Nairobi,Female,Master,5,6166,10/13/2014,,0,Active,4.191780822,OK,OK
97,Operations,Junior,Johannesburg,Female,Diploma,3,6165,10/14/2014,,0,Active,8.473972603,OK,OK
98,Engineering,Junior,Accra,Male,Master,1,6157,10/15/2014,,0,Active,8.665753425,OK,OK
99,Sales,Junior,Accra,Male,Bachelor,5,6151,10/16/2014,,0,Active,10.78082192,OK,OK
100,Sales,Manager,Lagos,Male,Master,3,6151,10/20/2014,,0,Active,5.273972603,OK,OK
101,Sales,Junior,Accra,Male,Bachelor,4,6147,10/21/2014,,0,Active,4.194520548,OK,OK
102,Finance,Junior,Nairobi,Female,Master,2,6143,10/24/2014,,0,Active,6.783561644,OK,OK
103,Engineering,Junior,Johannesburg,Female,Bachelor,3,6139,10/27/2014,,0,Active,8.309589041,OK,OK
104,Operations,Junior,Lagos,Male,PhD,5,6137,10/29/2014,,0,Active,5.890410959,OK,OK
105,Marketing,Junior,Accra,Female,Diploma,3,6135,11/3/2014,,0,Active,1.394520548,OK,OK
106,Engineering,Mid,Lagos,Female,Diploma,4,6129,11/8/2014,,0,Active,10.63835616,OK,OK
107,Engineering,Junior,Nairobi,Female,Bachelor,2,6129,11/13/2014,,0,Active,7.704109589,OK,OK
108,HR,Senior,Accra,Male,Diploma,3,6129,11/14/2014,,0,Active,6.263013699,OK,Missing Tenure
109,Engineering,Junior,Lagos,Female,Bachelor,3,6128,12/2/2014,,1,Involuntary,,Date Error,OK
110,Sales,Mid,Lagos,Male,PhD,3,6121,12/2/2014,1/27/2019,1,Involuntary,2.58630137,OK,OK
111,Engineering,Manager,Lagos,Male,PhD,3,6120,12/5/2014,,0,Active,3.04109589,OK,OK
112,Sales,Mid,Accra,Male,Bachelor,2,6113,12/5/2014,,0,Active,3.24109589,OK,OK
113,Customer Support,Mid,Nairobi,Male,PhD,5,6112,12/11/2014,3/1/2021,1,Voluntary,5.553424658,OK,OK
114,HR,Junior,Accra,Male,Bachelor,3,6110,12/14/2014,,0,Active,5.663013699,OK,OK
115,Finance,Junior,Accra,Male,Bachelor,3,6106,12/17/2014,,0,Active,8.391780822,OK,OK
116,Marketing,Senior,Johannesburg,Male,Master,3,6106,12/17/2014,,0,Active,3.509589041,OK,OK
117,HR,Manager,Nairobi,Female,Master,3,6105,12/20/2014,10/8/2023,1,Voluntary,2.687671233,OK,OK
118,Sales,Senior,Accra,Female,PhD,4,6096,12/23/2014,,0,Active,7.876712329,OK,Missing Tenure
119,Marketing,Mid,Accra,Male,Bachelor,5,6092,12/25/2014,,1,Voluntary,,Date Error,OK
120,Operations,Senior,Accra,Female,Master,3,6090,12/25/2014,3/7/2023,1,Voluntary,5.536986301,OK,OK
121,HR,Mid,Accra,Female,Diploma,4,6090,12/26/2014,,0,Active,3.460273973,OK,OK
122,Marketing,Junior,Accra,Female,Diploma,3,6090,12/29/2014,1/29/2024,1,Voluntary,0.909589041,OK,OK
123,Engineering,Mid,Accra,Male,Diploma,2,6088,12/30/2014,,0,Active,6.753424658,OK,OK
124,Sales,Manager,Lagos,Female,PhD,4,6081,1/3/2015,,0,Active,4.591780822,OK,OK
125,Engineering,Junior,Nairobi,Female,Master,3,6081,1/4/2015,,0,Active,6.060273973,OK,OK
126,Engineering,Senior,Lagos,Female,Master,4,6080,1/6/2015,,0,Active,5.254794521,OK,OK
127,Marketing,Junior,Nairobi,Male,Bachelor,4,6079,1/9/2015,,0,Active,8.802739726,OK,OK
128,Marketing,Mid,Accra,Male,Bachelor,3,6075,1/14/2015,,0,Active,7.021917808,OK,OK
129,Sales,Junior,Johannesburg,Female,Diploma,5,6075,1/21/2015,,0,Active,10.86849315,OK,OK
130,Operations,Mid,Nairobi,Male,Bachelor,4,6072,1/24/2015,,0,Active,3.405479452,OK,OK
131,Engineering,Senior,Nairobi,Male,Bachelor,3,6069,1/31/2015,,0,Active,10.81369863,OK,OK
132,Engineering,Junior,Nairobi,Male,Master,3,6066,1/31/2015,,0,Active,10.93424658,OK,OK
133,Sales,Senior,Johannesburg,Female,Bachelor,3,6065,2/3/2015,,0,Active,9.726027397,OK,OK
134,Engineering,Senior,Lagos,Female,Diploma,5,6064,2/10/2015,,0,Active,8.917808219,OK,OK
135,Customer Support,Manager,Accra,Male,Diploma,4,6061,2/10/2015,,0,Active,2.97260274,OK,OK
136,Engineering,Junior,Lagos,Female,Diploma,1,6058,2/11/2015,,0,Active,2.901369863,OK,OK
137,Operations,Mid,Nairobi,Male,Bachelor,3,6058,3/4/2015,,0,Active,3.901369863,OK,OK
138,Finance,Junior,Nairobi,Female,PhD,3,6056,3/5/2015,,0,Active,7.106849315,OK,OK
139,Engineering,Manager,Lagos,Female,Bachelor,2,6051,3/7/2015,,0,Active,4.849315068,OK,OK
140,Customer Support,Manager,Accra,Female,Master,1,6050,3/11/2015,,0,Active,8.764383562,OK,OK
141,Customer Support,Mid,Lagos,Female,Bachelor,3,6046,3/12/2015,8/3/2022,1,Voluntary,4.512328767,OK,OK
142,Engineering,Senior,Johannesburg,Male,Bachelor,3,6045,3/13/2015,3/31/2020,1,Involuntary,1.660273973,OK,OK
143,Operations,Mid,Lagos,Female,Diploma,3,6039,3/17/2015,,0,Active,9.476712329,OK,OK
144,Engineering,Mid,Lagos,Male,Master,3,6039,3/18/2015,9/10/2021,1,Voluntary,6.660273973,OK,OK
145,Engineering,Junior,Accra,Female,Master,2,6033,3/21/2015,,0,Active,5.753424658,OK,OK
146,Sales,Senior,Lagos,Female,Diploma,4,6027,3/22/2015,,0,Active,2.109589041,OK,OK
147,Operations,Junior,Johannesburg,Female,Bachelor,3,6025,3/23/2015,1/14/2020,1,Involuntary,3.093150685,OK,OK
148,Operations,Senior,Nairobi,Male,Bachelor,3,6023,3/25/2015,,0,Active,10.79452055,OK,OK
149,Sales,Senior,Nairobi,Female,Bachelor,3,6022,3/26/2015,,0,Active,7.150684932,OK,OK
150,Engineering,Senior,Lagos,Male,PhD,3,6013,3/29/2015,,0,Active,8.726027397,OK,OK
151,Marketing,Junior,Lagos,Male,Bachelor,2,6010,3/30/2015,,0,Active,1.016438356,OK,OK
152,Engineering,Junior,Accra,Female,Bachelor,2,6009,4/4/2015,,0,Active,8.183561644,OK,OK
153,Sales,Junior,Nairobi,Male,Diploma,2,5998,4/7/2015,,0,Active,2.008219178,OK,OK
154,Operations,Mid,Lagos,Female,Diploma,4,5996,4/7/2015,,0,Active,5.331506849,OK,OK
155,Customer Support,Junior,Lagos,Male,Bachelor,4,5995,4/9/2015,,0,Active,9.778082192,OK,Missing Tenure
156,Engineering,Manager,Lagos,Male,Diploma,4,5992,4/10/2015,,1,Voluntary,,Date Error,OK
157,Finance,Mid,Johannesburg,Female,Master,4,5989,4/14/2015,,0,Active,3.331506849,OK,OK
158,HR,Junior,Accra,Female,Master,4,5989,4/19/2015,7/26/2022,1,Voluntary,3.112328767,OK,OK
159,Engineering,Mid,Nairobi,Male,Diploma,3,5982,4/20/2015,,0,Active,1.342465753,OK,Missing Tenure
160,Finance,Mid,Accra,Female,Master,3,5979,4/21/2015,,1,Involuntary,,Date Error,OK
161,Engineering,Mid,Lagos,Male,Diploma,1,5967,4/28/2015,3/17/2024,1,Voluntary,4.063013699,OK,OK
162,Finance,Mid,Accra,Female,Bachelor,3,5966,5/3/2015,,0,Active,2.336986301,OK,OK
163,Finance,Manager,Accra,Male,Bachelor,4,5962,5/7/2015,,0,Active,6.235616438,OK,OK
164,Operations,Mid,Lagos,Female,Bachelor,3,5962,5/8/2015,,0,Active,5.610958904,OK,Missing Tenure
165,Sales,Manager,Accra,Female,Bachelor,3,5956,5/10/2015,,1,Voluntary,,Date Error,OK
166,Marketing,Senior,Lagos,Female,Bachelor,3,5950,5/13/2015,,0,Active,6.761643836,OK,OK
167,Engineering,Junior,Johannesburg,Male,Bachelor,3,5949,5/14/2015,,0,Active,9.120547945,OK,OK
168,Sales,Manager,Accra,Female,PhD,4,5945,5/15/2015,,0,Active,5.556164384,OK,OK
169,Sales,Junior,Nairobi,Female,Diploma,4,5942,5/15/2015,6/6/2024,1,Voluntary,6.597260274,OK,OK
170,Operations,Senior,Lagos,Female,Diploma,3,5939,5/19/2015,,0,Active,9.402739726,OK,OK
171,Finance,Mid,Nairobi,Male,Diploma,4,5937,5/19/2015,,0,Active,5.115068493,OK,OK
172,Sales,Senior,Accra,Female,Bachelor,3,5930,5/21/2015,,0,Active,5.997260274,OK,OK
173,Operations,Senior,Accra,Female,Diploma,4,5930,5/23/2015,7/6/2024,1,Voluntary,5.079452055,OK,OK
174,Engineering,Senior,Accra,Male,Master,3,5929,5/25/2015,,0,Active,9.293150685,OK,OK
175,Finance,Senior,Accra,Male,Bachelor,3,5925,5/26/2015,,0,Active,5.443835616,OK,OK
176,Sales,Junior,Accra,Female,Bachelor,3,5924,5/31/2015,,0,Active,2.487671233,OK,OK
177,Finance,Junior,Nairobi,Male,Bachelor,4,5911,6/9/2015,,0,Active,4.145205479,OK,OK
178,Engineering,Mid,Johannesburg,Female,Diploma,5,5908,6/10/2015,7/8/2023,1,Voluntary,8.526027397,OK,OK
179,Customer Support,Junior,Nairobi,Female,Bachelor,2,5908,6/12/2015,,0,Active,5.030136986,OK,OK
180,Sales,Senior,Nairobi,Female,Bachelor,2,5907,6/15/2015,,0,Active,9.98630137,OK,Missing Tenure
181,Engineering,Junior,Accra,Male,Bachelor,5,5904,6/15/2015,,1,Voluntary,,Date Error,Missing Tenure
182,Sales,Manager,Accra,Male,Bachelor,3,5901,6/15/2015,,1,Involuntary,,Date Error,OK
183,Customer Support,Mid,Accra,Female,Diploma,3,5896,6/16/2015,,0,Active,5.564383562,OK,OK
184,Marketing,Senior,Accra,Male,PhD,3,5894,6/25/2015,,0,Active,3.156164384,OK,Missing Tenure
185,Engineering,Junior,Lagos,Female,Diploma,2,5890,6/27/2015,,1,Involuntary,,Date Error,OK
186,Finance,Senior,Lagos,Male,Master,4,5871,7/1/2015,,0,Active,5.301369863,OK,Missing Tenure
187,Marketing,Manager,Lagos,Male,Master,4,5865,7/3/2015,,1,Involuntary,,Date Error,Missing Tenure
188,Operations,Mid,Lagos,Male,Bachelor,3,5864,7/7/2015,,1,Voluntary,,Date Error,OK
189,Operations,Mid,Nairobi,Female,Diploma,3,5864,7/8/2015,,0,Active,7.216438356,OK,Missing Tenure
190,Engineering,Senior,Nairobi,Female,Diploma,4,5864,7/9/2015,,1,Involuntary,,Date Error,OK
191,Sales,Junior,Accra,Male,Master,2,5863,7/12/2015,,0,Active,7.805479452,OK,OK
192,Marketing,Mid,Johannesburg,Male,Master,4,5860,7/13/2015,,0,Active,5.693150685,OK,OK
193,Marketing,Mid,Johannesburg,Male,Master,3,5859,7/14/2015,,0,Active,10.00273973,OK,OK
194,Finance,Junior,Accra,Male,PhD,3,5855,7/16/2015,8/7/2020,1,Voluntary,6.42739726,OK,OK
195,Engineering,Mid,Lagos,Male,Master,5,5853,7/16/2015,,0,Active,1.969863014,OK,OK
196,Engineering,Junior,Lagos,Female,Diploma,4,5850,7/19/2015,,0,Active,8.945205479,OK,OK
197,Finance,Junior,Johannesburg,Male,Bachelor,3,5848,7/19/2015,8/6/2020,1,Voluntary,2.37260274,OK,OK
198,Marketing,Junior,Johannesburg,Male,Master,4,5847,7/20/2015,,0,Active,5.432876712,OK,OK
199,Marketing,Manager,Accra,Male,Bachelor,3,5844,7/23/2015,,0,Active,3.164383562,OK,OK
200,HR,Mid,Lagos,Female,Diploma,3,5844,7/24/2015,8/13/2020,1,Voluntary,1.479452055,OK,Missing Tenure
201,Finance,Manager,Lagos,Male,Master,5,5842,7/24/2015,,1,Voluntary,,Date Error,OK
202,Sales,Mid,Lagos,Male,Bachelor,4,5842,7/25/2015,9/26/2022,1,Voluntary,6.671232877,OK,OK
203,Sales,Junior,Accra,Female,PhD,3,5839,7/30/2015,10/28/2020,1,Voluntary,0.723287671,OK,OK
204,Marketing,Mid,Johannesburg,Female,Master,3,5827,8/3/2015,,0,Active,6.832876712,OK,OK
205,Operations,Mid,Nairobi,Male,Diploma,1,5825,8/7/2015,,0,Active,9.375342466,OK,OK
206,Sales,Junior,Nairobi,Male,PhD,1,5825,8/10/2015,,0,Active,2.169863014,OK,OK
207,Sales,Mid,Johannesburg,Female,Bachelor,3,5819,8/11/2015,,0,Active,3.243835616,OK,OK
208,Finance,Junior,Nairobi,Male,Bachelor,4,5816,8/13/2015,,0,Active,1.128767123,OK,Missing Tenure
209,Sales,Mid,Lagos,Female,Bachelor,3,5813,8/15/2015,,1,Involuntary,,Date Error,OK
210,Sales,Mid,Lagos,Female,Diploma,4,5808,8/16/2015,,0,Active,1.402739726,OK,OK
211,Operations,Junior,Accra,Male,Bachelor,1,5805,8/20/2015,,0,Active,5.983561644,OK,OK
212,Finance,Junior,Nairobi,Male,Diploma,3,5804,8/21/2015,,0,Active,2.323287671,OK,OK
213,Finance,Senior,Accra,Male,Bachelor,3,5800,8/21/2015,,0,Active,3.712328767,OK,OK
214,Engineering,Mid,Nairobi,Female,Bachelor,3,5795,8/28/2015,,0,Active,7.18630137,OK,OK
215,Finance,Junior,Accra,Male,Master,2,5789,8/31/2015,,0,Active,6.663013699,OK,OK
216,Engineering,Manager,Accra,Male,Master,5,5789,9/2/2015,,0,Active,1.602739726,OK,OK
217,Engineering,Junior,Accra,Female,Diploma,3,5787,9/2/2015,,0,Active,10.70410959,OK,OK
218,HR,Senior,Accra,Female,Bachelor,5,5786,9/3/2015,6/14/2019,1,Voluntary,4.21369863,OK,Missing Tenure
219,Finance,Manager,Nairobi,Male,Bachelor,3,5783,9/4/2015,,1,Voluntary,,Date Error,OK
220,Marketing,Junior,Nairobi,Female,Diploma,5,5782,9/5/2015,,0,Active,2.131506849,OK,OK
221,Finance,Junior,Lagos,Male,Master,3,5776,9/7/2015,11/11/2024,1,Voluntary,3.660273973,OK,OK
222,Operations,Junior,Accra,Male,Master,5,5772,9/10/2015,,0,Active,5.019178082,OK,OK
223,Sales,Junior,Accra,Male,Bachelor,1,5769,9/12/2015,,0,Active,5.882191781,OK,OK
224,Engineering,Junior,Accra,Male,Bachelor,4,5766,9/12/2015,,0,Active,4.767123288,OK,OK
225,Engineering,Senior,Accra,Male,Diploma,5,5765,9/18/2015,,0,Active,7.550684932,OK,Missing Tenure
226,Engineering,Junior,Johannesburg,Male,Bachelor,2,5764,9/19/2015,,1,Voluntary,,Date Error,OK
227,Customer Support,Mid,Accra,Female,Diploma,2,5762,9/20/2015,,0,Active,10.31780822,OK,Missing Tenure
228,Engineering,Manager,Lagos,Female,PhD,3,5762,9/26/2015,,1,Voluntary,,Date Error,OK
229,Marketing,Senior,Accra,Female,Master,5,5744,10/15/2015,,0,Active,7.010958904,OK,OK
230,Finance,Mid,Accra,Male,Bachelor,3,5744,10/21/2015,,0,Active,5.687671233,OK,Missing Tenure
231,HR,Junior,Lagos,Male,Bachelor,3,5741,10/21/2015,,1,Voluntary,,Date Error,OK
232,Operations,Mid,Lagos,Male,PhD,2,5735,10/22/2015,,0,Active,1.438356164,OK,OK
233,Operations,Mid,Accra,Female,Bachelor,1,5735,10/29/2015,,0,Active,7.375342466,OK,OK
234,Operations,Mid,Accra,Female,Diploma,4,5727,11/1/2015,,0,Active,5.202739726,OK,OK
235,Sales,Junior,Lagos,Male,Bachelor,2,5726,11/4/2015,,0,Active,1.873972603,OK,OK
236,Finance,Manager,Accra,Male,Master,3,5720,11/5/2015,,0,Active,5.920547945,OK,OK
237,Engineering,Mid,Accra,Male,Master,5,5713,11/10/2015,,0,Active,4.791780822,OK,OK
238,Sales,Junior,Johannesburg,Male,Master,3,5706,11/11/2015,,0,Active,7.994520548,OK,OK
239,Finance,Mid,Lagos,Male,Master,4,5702,11/12/2015,,0,Active,10.84109589,OK,OK
240,Sales,Mid,Lagos,Female,Master,2,5701,11/14/2015,,0,Active,6.915068493,OK,OK
241,Customer Support,Senior,Lagos,Female,PhD,3,5701,11/21/2015,,0,Active,7.775342466,OK,OK
242,Customer Support,Senior,Lagos,Male,Diploma,2,5698,11/23/2015,,0,Active,8.802739726,OK,OK
243,Customer Support,Senior,Lagos,Male,Bachelor,4,5692,11/25/2015,,0,Active,5.057534247,OK,OK
244,Engineering,Junior,Nairobi,Female,Master,3,5689,11/25/2015,,0,Active,3.369863014,OK,OK
245,Sales,Mid,Nairobi,Male,Master,3,5681,11/29/2015,,0,Active,5.871232877,OK,OK
246,Customer Support,Mid,Accra,Male,Bachelor,3,5664,12/4/2015,,0,Active,4.95890411,OK,OK
247,Engineering,Junior,Lagos,Male,Diploma,2,5647,12/5/2015,,0,Active,9.528767123,OK,OK
248,Customer Support,Junior,Lagos,Male,Master,4,5644,12/6/2015,,0,Active,9.295890411,OK,OK
